year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FED,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,cpi
1990-01-01,7.399155370803595,6.4382261018680635,6.2460402480809565,6.4382261018680635,6.4382261018680635,5.76557561361319,7.206969517016488,6.4382261018680635,6.4382261018680635,6.4382261018680635,6.4382261018680635,6.2460402480809565,7.399155370803595,6.4382261018680635,4.420274637103446,4.420274637103446,3.843717075742127,3.074973660593702,6.4382261018680635,6.4382261018680635,7.014783663229382,6.4382261018680635,7.014783663229382,6.4382261018680635,6.822597809442275,6.4382261018680635,6.4382261018680635,6.4382261018680635,6.4382261018680635,5.957761467400297,6.4382261018680635,6.822597809442275,6.4382261018680635,6.4382261018680635,6.4382261018680635,6.4382261018680635,4.420274637103446,6.4382261018680635,6.4382261018680635,6.4382261018680635,7.014783663229382,6.4382261018680635,5.381203906038977,6.4382261018680635,6.4382261018680635,5.285110979145425,5.092925125358318,6.822597809442275,4.420274637103446,6.4382261018680635,6.4382261018680635,3.074973660593702,55.1261442568817
1991-01-01,7.928233865612538,7.006346206820382,6.176647313907442,7.006346206820382,7.836045099733322,5.531325952752933,7.836045099733322,7.006346206820382,7.006346206820382,7.006346206820382,7.006346206820382,5.992269782149011,7.098534972699598,7.836045099733322,7.006346206820382,7.006346206820382,6.176647313907442,4.886004591598424,7.006346206820382,7.006346206820382,6.914157440941167,7.006346206820382,7.098534972699598,6.176647313907442,7.836045099733322,7.006346206820382,7.006346206820382,7.006346206820382,6.176647313907442,6.2688360797866585,6.176647313907442,7.098534972699598,7.006346206820382,6.176647313907442,7.006346206820382,7.006346206820382,7.006346206820382,7.006346206820382,8.75793275852548,7.006346206820382,7.836045099733322,7.006346206820382,7.006346206820382,7.006346206820382,6.176647313907442,7.006346206820382,4.886004591598424,7.098534972699598,7.836045099733322,7.006346206820382,6.176647313907442,2.950040508134898,57.4607166012002
1992-01-01,8.500468884225073,7.605682685885593,6.531939247878214,7.605682685885593,7.605682685885593,5.368717190036888,7.641474133819171,7.605682685885593,7.605682685885593,7.605682685885593,7.605682685885593,5.8161102892066285,6.889853727214008,8.321511644557178,7.605682685885593,7.605682685885593,5.995067528874526,4.742366851199251,7.605682685885593,7.605682685885593,7.605682685885593,7.605682685885593,7.605682685885593,5.995067528874526,7.605682685885593,7.605682685885593,7.605682685885593,7.605682685885593,6.8003751073800585,7.605682685885593,7.605682685885593,7.605682685885593,7.605682685885593,5.995067528874526,7.605682685885593,7.605682685885593,7.605682685885593,7.605682685885593,8.500468884225073,7.605682685885593,7.963597165221385,7.605682685885593,7.605682685885593,7.605682685885593,5.995067528874526,7.605682685885593,6.531939247878214,7.605682685885593,7.605682685885593,6.8003751073800585,6.8003751073800585,2.863315834686341,59.2010980928232
1993-01-01,8.256757719791286,7.387625328234309,6.344666458365936,7.387625328234309,7.387625328234309,5.214794349341864,7.422390623896588,7.387625328234309,7.387625328234309,7.387625328234309,7.387625328234309,5.649360545120353,6.692319414988727,8.08293124147989,7.387625328234309,7.387625328234309,5.82318702343175,4.6064016752519805,7.387625328234309,7.387625328234309,7.387625328234309,7.387625328234309,7.387625328234309,5.82318702343175,7.387625328234309,7.387625328234309,7.387625328234309,7.387625328234309,6.6054061758330285,7.387625328234309,7.387625328234309,7.387625328234309,7.387625328234309,5.82318702343175,7.387625328234309,7.387625328234309,7.387625328234309,7.387625328234309,8.256757719791286,7.387625328234309,7.7352782848571,7.387625328234309,7.387625328234309,7.387625328234309,5.82318702343175,7.387625328234309,6.344666458365936,7.387625328234309,7.387625328234309,6.6054061758330285,6.6054061758330285,2.7812236529823284,60.9485114288567
1994-01-01,8.046938498486645,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,5.082276946412618,7.233774187060626,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,5.505800025280336,8.89398465622208,7.8775292669395585,7.199892340751209,7.199892340751209,5.675209256827424,4.489344635997813,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,5.675209256827424,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,8.555166193127908,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,8.046938498486645,7.199892340751209,7.538710803845384,7.199892340751209,7.199892340751209,7.199892340751209,5.675209256827424,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,7.199892340751209,2.7105477047533966,62.5377082656518
1995-01-01,7.8273485219611665,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,4.943588540185999,7.0363743555314056,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,5.355554251868166,8.651279945325498,7.6625622372882995,7.003417098596833,7.003417098596833,5.520340536541033,4.366836543830966,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,5.520340536541033,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,8.321707375979766,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.8273485219611665,7.003417098596833,7.332989667942567,7.003417098596833,7.003417098596833,7.003417098596833,5.520340536541033,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,7.003417098596833,2.636580554765867,64.292153446096
1996-01-01,7.6044466620222035,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,4.802808418119286,6.835997315123117,6.803978592335655,7.444353048084894,6.803978592335655,6.803978592335655,5.20304245296256,8.40491473170875,7.444353048084894,6.803978592335655,6.803978592335655,5.3631360668998695,4.2424807693387026,6.803978592335655,6.803978592335655,7.6044466620222035,6.803978592335655,6.803978592335655,5.3631360668998695,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,8.084727503834133,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,6.803978592335655,7.6044466620222035,6.803978592335655,7.1241658202102744,6.803978592335655,6.803978592335655,6.803978592335655,5.3631360668998695,6.803978592335655,6.803978592335655,7.6044466620222035,7.844587082928168,6.803978592335655,6.803978592335655,2.561497822996953,66.1766877481362
1997-01-01,8.212922078715719,7.430739023599936,6.648555968484153,7.430739023599936,7.430739023599936,7.430739023599936,7.462026345804566,7.430739023599936,7.821830551157827,7.430739023599936,7.430739023599936,5.0841898582525875,8.212922078715719,7.430739023599936,6.648555968484153,7.430739023599936,5.240626469275744,4.145570192113648,6.648555968484153,7.430739023599936,8.212922078715719,7.430739023599936,7.430739023599936,5.240626469275744,6.648555968484153,7.430739023599936,7.430739023599936,7.430739023599936,6.648555968484153,7.430739023599936,6.648555968484153,7.430739023599936,7.900048856669406,6.648555968484153,7.430739023599936,6.648555968484153,6.648555968484153,7.430739023599936,8.604013606273611,7.430739023599936,8.056485467692562,7.430739023599936,6.648555968484153,7.430739023599936,5.240626469275744,7.430739023599936,7.430739023599936,7.821830551157827,7.665393940134671,7.430739023599936,6.648555968484153,2.502985776370505,67.7236935184677
1998-01-01,8.703564903958606,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.979551540266473,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,5.006475387232825,8.087383317837642,7.933337921307401,7.933337921307401,7.933337921307401,5.160520783763067,4.082203008051381,6.5469293525352334,7.933337921307401,8.087383317837642,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.77929252477716,6.5469293525352334,7.933337921307401,6.5469293525352334,6.5469293525352334,7.933337921307401,9.242723791814447,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,7.933337921307401,5.160520783763067,7.933337921307401,7.933337921307401,8.087383317837642,7.5482244299818,7.933337921307401,7.317156335186438,2.464726344483853,68.7749542578521
1999-01-01,8.517206117681443,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.808695166299094,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,4.899277855303485,7.914218073951783,7.763471063019368,7.763471063019368,7.763471063019368,5.0500248662359,3.9947957897089954,6.406747964627635,7.763471063019368,7.914218073951783,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.612724052086954,6.406747964627635,7.763471063019368,6.406747964627635,6.406747964627635,7.763471063019368,9.044820655944894,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,7.763471063019368,5.0500248662359,7.763471063019368,7.763471063019368,7.914218073951783,7.386603535688332,7.763471063019368,7.1604830192897095,2.411952174918639,70.27976896172
