,year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonally adjusted
20,1995-01-01,84.52833333333334,83.49416666666666,86.30916666666668,76.37916666666666,67.91583333333334,66.41666666666666,78.29583333333333,67.47749999999999,82.59499999999998,77.97833333333334,73.82833333333333,109.09583333333336,79.86999999999998,89.01583333333332,78.97083333333335,82.94416666666666,78.37083333333331,80.90500000000002,79.82333333333334,63.2275,84.19583333333333,75.67083333333333,70.7525,68.11749999999999,78.5175,82.30166666666666,83.87666666666667,79.34166666666668,86.84583333333335,79.56166666666667,65.67833333333334,76.61750000000002,92.49166666666667,86.6675,76.69833333333331,81.91166666666666,81.75333333333332,79.71583333333331,86.29166666666669,77.15249999999997,77.63916666666667,81.29833333333333,81.29916666666666,77.8283333333333,82.1625,80.77583333333331,82.62749999999998,77.02416666666667,78.99166666666667,87.56,82.74333333333334,75.34166666666667
21,1996-01-01,87.48666666666666,86.80083333333332,88.81083333333332,79.94583333333333,67.52416666666669,70.11916666666666,78.35583333333334,69.31166666666668,83.37416666666667,79.795,77.1125,103.78666666666668,83.44916666666667,90.90916666666668,81.43750000000001,86.82333333333332,82.03999999999998,84.12333333333333,84.0175,65.39,84.51166666666667,77.77833333333331,76.29416666666665,71.38666666666667,81.55916666666666,85.80916666666667,87.49833333333332,83.07166666666667,89.29333333333334,83.74083333333334,67.69500000000001,77.21083333333333,94.29333333333334,88.74416666666669,77.3108333333333,85.5625,85.02083333333333,85.25916666666667,87.29916666666666,76.95666666666666,80.89166666666667,84.3875,85.62333333333333,80.05416666666666,88.51249999999997,81.77333333333333,83.1375,79.1025,82.24,90.62833333333332,86.39,77.14416666666669
22,1997-01-01,90.4875,89.67750000000002,90.82166666666667,82.76583333333333,69.26833333333333,73.96083333333333,79.37583333333333,69.85416666666667,84.56499999999998,82.02583333333331,80.75083333333333,96.305,86.35833333333332,92.545,83.52416666666669,89.52916666666668,85.1741666666667,87.45333333333332,87.625,68.66583333333332,84.88333333333333,79.55166666666666,81.43583333333333,74.46999999999998,84.55416666666666,88.5575,88.88999999999999,87.04583333333332,91.64416666666666,88.23916666666668,70.4725,78.52666666666666,95.2575,90.27333333333333,78.52833333333334,88.37583333333332,87.27583333333332,90.07583333333334,88.42416666666668,77.75916666666667,84.14166666666667,87.4775,89.195,82.19749999999998,92.20583333333332,83.38916666666667,83.66,82.845,85.09416666666667,92.62833333333332,88.38583333333332,79.48833333333333
23,1998-01-01,93.34666666666664,92.35333333333332,92.52666666666666,87.07583333333334,75.47833333333334,78.77416666666666,82.61666666666666,74.06750000000002,86.9875,85.03416666666669,85.64666666666666,93.16166666666668,90.415,93.98083333333334,86.37166666666668,92.35416666666669,89.91166666666668,90.59749999999998,91.79833333333336,74.5625,86.60666666666668,83.40083333333334,86.37583333333332,78.87916666666666,88.005,92.175,91.11583333333333,90.53833333333334,94.77583333333332,92.27250000000002,75.98916666666666,81.59583333333333,96.45583333333332,91.60833333333332,81.625,91.41833333333336,90.84333333333332,93.15583333333336,90.29,80.0125,88.49833333333332,90.10333333333334,92.44083333333332,86.31583333333332,94.92,85.565,85.76166666666667,88.34499999999998,88.60833333333333,94.555,91.07166666666666,83.69916666666667
24,1999-01-01,95.89333333333332,95.965,95.78166666666668,92.09916666666668,83.25750000000002,86.41583333333334,89.055,82.68166666666667,91.46083333333333,89.5775,91.94083333333332,93.67916666666667,94.8075,96.735,91.14083333333332,95.88833333333332,95.20916666666665,94.87333333333332,95.3725,83.00500000000002,91.12416666666668,88.86916666666666,92.08833333333332,86.6275,93.0625,96.27583333333332,94.18916666666668,94.58583333333333,97.28333333333336,96.26333333333334,83.2183333333333,87.40833333333335,98.4325,94.17666666666666,88.1975,95.38583333333332,95.27916666666668,96.42916666666667,93.87333333333332,85.25833333333333,93.87333333333336,94.57916666666668,96.58833333333332,91.70083333333334,97.2025,90.265,90.7408333333333,93.66749999999998,93.36916666666669,96.99166666666667,93.98666666666668,89.51916666666666
25,2000-01-01,98.4625,99.21166666666666,98.97666666666667,98.08,94.57666666666668,96.35166666666667,97.11166666666668,94.7025,97.35166666666667,96.41416666666667,98.25333333333332,97.74833333333332,99.13583333333332,99.665,97.62916666666666,99.65916666666668,99.28249999999998,99.31833333333331,99.12833333333332,94.77416666666666,97.10333333333334,96.72583333333334,98.625,96.34583333333332,98.45583333333332,99.7225,98.68916666666668,98.855,99.64833333333333,99.71416666666669,94.3025,95.9541666666667,100.265,98.26583333333332,96.46250000000002,99.67166666666668,99.28166666666668,99.82999999999998,98.555,95.25083333333332,98.8875,99.15083333333335,99.755,97.84916666666665,99.84333333333336,96.90333333333336,97.75583333333331,98.9075,99.07666666666668,100.175,98.17416666666666,97.035
26,2001-01-01,103.94416666666666,101.38166666666666,102.1775,103.19333333333331,106.38916666666664,104.48666666666668,105.47416666666668,111.7975,104.66,105.82750000000004,103.06416666666668,105.18083333333334,102.16666666666669,102.255,104.13,101.47666666666665,103.05833333333334,102.0275,102.23666666666666,107.2975,105.79916666666668,105.96083333333335,102.5875,105.95083333333334,103.64416666666666,101.7625,102.85083333333333,101.53166666666664,102.53916666666667,102.04583333333332,106.98666666666666,106.37666666666664,102.15999999999998,103.86916666666669,105.32166666666666,102.23833333333332,102.495,103.36,103.8175,107.36166666666666,101.87,102.6075,101.78416666666668,103.0675,100.93666666666668,105.67916666666666,105.605,103.2325,103.6825,101.91083333333331,103.33833333333332,104.5575
27,2002-01-01,110.49166666666667,104.245,106.02583333333332,109.39833333333333,120.6675,108.99833333333332,117.08500000000002,131.26166666666668,114.01583333333336,118.0483333333333,107.40166666666669,114.835,105.92833333333333,105.59166666666664,111.37333333333332,104.00083333333332,107.03999999999996,105.56083333333332,106.49166666666667,120.71500000000002,119.18250000000002,118.24916666666668,106.96500000000002,116.15916666666664,109.38416666666666,104.21583333333332,108.48333333333332,104.42,107.7325,105.55583333333333,120.33833333333332,121.43583333333332,107.09583333333332,111.33,117.49666666666666,105.7,106.57833333333332,109.02416666666666,112.005,126.56333333333332,105.35583333333336,106.9175,104.8175,106.84416666666668,102.40416666666664,116.56583333333334,114.82833333333332,108.4,109.62166666666668,105.35416666666669,110.81166666666668,113.42166666666668
28,2003-01-01,118.44166666666668,107.86583333333333,111.05583333333334,117.75166666666668,140.14,111.22500000000002,129.185,153.36083333333332,126.89833333333333,133.39,110.855,132.96916666666667,109.66916666666668,110.30166666666668,119.42583333333332,106.04833333333332,110.78583333333334,109.51083333333334,111.61083333333332,133.59666666666666,137.45166666666665,131.28583333333333,109.9208333333333,125.4975,115.72916666666669,107.64916666666664,117.30083333333334,107.07416666666668,114.12916666666668,109.285,133.905,138.05749999999998,113.58916666666666,124.2925,131.3691666666667,108.73416666666668,110.4425,116.05166666666668,122.1275,149.21916666666667,108.46,112.05916666666666,108.51,109.67166666666668,104.08166666666666,129.72,125.09,115.28,116.49583333333334,109.9875,118.81833333333331,123.83583333333333
29,2004-01-01,128.88500000000002,113.17166666666668,117.51666666666668,133.67916666666665,170.98333333333338,115.19333333333331,143.2541666666667,186.06166666666664,143.85583333333332,157.645,115.25083333333336,163.89166666666668,113.94583333333333,120.14000000000004,128.3766666666667,108.90583333333336,114.98666666666668,114.30833333333334,118.82583333333334,146.26000000000005,162.3766666666667,146.42833333333334,112.9525,134.53666666666666,122.0825,111.97,128.23666666666665,111.71833333333336,121.78333333333332,113.40666666666664,146.91666666666666,156.61833333333337,122.81166666666668,163.72333333333333,146.0233333333333,111.98166666666668,114.62333333333332,127.40166666666669,134.3425,173.89666666666665,114.18,117.50333333333332,113.64333333333332,112.9525,109.4475,150.31833333333333,140.5658333333333,127.47833333333332,124.3125,117.29333333333334,130.50333333333333,138.3925
